lr_enc,lr_dec,lr_dyn,lr_dyn_scale,epoch,t_total,t_static_recon,t_kl,t_dyn_recon,t_dyn,t_steady,t_dyn_attn,t_attn_pos,v_total,v_static_recon,v_kl,v_dyn_recon,v_dyn,v_steady,v_dyn_attn,v_attn_pos
0.001,0.001,0.001,0.001,1.0,0.0012194520577290798,0.00011550671135003096,0.058853283686250805,0.00010284585784147275,0.00016633473518034919,0.0,0.0,0.0,0.00019288121939521947,2.8176108211997606e-05,0.03181884414529147,1.2922118126614589e-05,3.6650841307683346e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,2.0,0.00027459202255079835,3.364208824931246e-05,0.02602960917911573,2.0822799099953053e-05,6.692332881206744e-05,0.0,0.0,0.0,0.00016991508263482214,2.272619693603826e-05,0.023163695242851293,1.2076991795217746e-05,3.25527090680138e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,3.0,0.0002037807715685664,2.4813153920469267e-05,0.020991876052530934,1.518136991077495e-05,6.162041637976037e-05,0.0,0.0,0.0,0.0001291720201707866,1.720579383048531e-05,0.020002098475417045,8.806615474380842e-06,3.897972204519136e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,4.0,0.00018633948462817512,2.177906032137628e-05,0.018979269709080867,1.366552264055133e-05,8.925927780462259e-05,0.0,0.0,0.0,0.0003246550480133458,3.232078070988343e-05,0.018938971202667444,2.683645801033429e-05,5.0307162329033615e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,5.0,0.00014897489196915374,1.789123499870314e-05,0.017354877861939608,1.071035683195144e-05,6.625209749165242e-05,0.0,0.0,0.0,0.0001274562389887529,1.531810655479732e-05,0.016936242877076204,9.108895129475266e-06,4.112937509958994e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,6.0,0.0001364525279429418,1.6645225783477517e-05,0.017367378560375405,9.514252174189237e-06,7.297400879360378e-05,0.0,0.0,0.0,5.600616410289589e-05,8.07533590957633e-06,0.017246729941128598,2.675220259259557e-06,3.9318944904211026e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,7.0,0.00010556561000842907,1.309880302188632e-05,0.0168673407303416,6.8187244436325535e-06,7.41222075712607e-05,0.0,0.0,0.0,0.0001501641546899121,1.7497369657551282e-05,0.017058260849077408,1.1157324955520671e-05,4.0352735353295416e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,8.0,0.00014301421434526038,1.7097972134555068e-05,0.017919156158759712,9.815002234615628e-06,9.847063348488145e-05,0.0,0.0,0.0,6.571357148023297e-05,9.527750138924818e-06,0.016198302493792147,3.567547707490997e-06,4.312040997519196e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,9.0,0.00011359164026963469,1.3712830453822453e-05,0.016740236788579863,7.531890454313696e-06,7.819667511023298e-05,0.0,0.0,0.0,9.526571146208265e-05,1.1466762678778505e-05,0.017179798053824195,6.166555796889163e-06,4.953592488479473e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,10.0,9.934059009604479e-05,1.2220296342188723e-05,0.016613599420546396,6.289751908989523e-06,7.60917411146373e-05,0.0,0.0,0.0,5.0736159754951045e-05,7.223789970210826e-06,0.016480017217326927,2.3018127287959693e-06,4.0142244046505995e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,11.0,0.00010418972062142609,1.2782960948243271e-05,0.016799505606089553,6.673693567439982e-06,7.870317612891435e-05,0.0,0.0,0.0,6.954996847679421e-05,8.76230769724262e-06,0.017113243785078665,3.823782396412424e-06,5.436591881172642e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,12.0,8.100498822777103e-05,1.0301928110933676e-05,0.01616489863218782,4.820521033119695e-06,6.33295035785643e-05,0.0,0.0,0.0,0.00010496419596115816,1.1791559677787941e-05,0.016620703159946286,7.122415396997271e-06,5.327778076460653e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,13.0,8.776981606558561e-05,1.089781153321582e-05,0.016255620249874515,5.301752837796031e-06,7.59885482611665e-05,0.0,0.0,0.0,6.220252482224783e-05,8.125618495792363e-06,0.016203800099625434,3.2457540280979814e-06,5.415565010347456e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,14.0,7.90607934213269e-05,1.006501476084638e-05,0.01607017758774431,4.584393183300214e-06,7.081668053558328e-05,0.0,0.0,0.0,0.00014010817908626644,1.5712248851953405e-05,0.016246730315086503,1.0331750321935556e-05,4.8316956744446915e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,15.0,8.851389820340885e-05,1.1085391710715669e-05,0.016412332970393847,5.283651621020202e-06,8.179656266833944e-05,0.0,0.0,0.0,4.18996372202743e-05,6.572682943118558e-06,0.015870576201508578,1.5168041178708647e-06,4.288335901780876e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,16.0,9.730393984636768e-05,1.1889683658297792e-05,0.016818145090314353,6.03759527416618e-06,8.220157577833971e-05,0.0,0.0,0.0,4.37554244651591e-05,6.492658929296527e-06,0.016265072327226265,1.5584896414630545e-06,5.412795935298408e-05,0.0,0.0,0.0
0.001,0.001,0.001,0.001,17.0,7.417064732351004e-05,9.347054020513102e-06,0.015888087679398113,4.223817229454512e-06,6.697332687008177e-05,0.0,0.0,0.0,3.9834576190053804e-05,6.4919257506496405e-06,0.015646243348513562,1.2962798996029536e-06,4.733607275273775e-05,0.0,0.0,0.0
