lr_enc,lr_dec,lr_dyn,lr_dyn_scale,epoch,t_total,t_static_recon,t_kl,t_dyn_recon,t_dyn,t_steady,t_dyn_attn,t_attn_pos,v_total,v_static_recon,v_kl,v_dyn_recon,v_dyn,v_steady,v_dyn_attn,v_attn_pos
0.0001,0.001,0.0001,0.0001,1.0,0.0031456792162698004,0.0003027554263804701,0.050049048585285805,0.0002693223472336788,2.2532561769316636e-05,0.0003203933901878431,0.002167951923861673,0.006770866373691431,0.0007659732988226499,6.49678135800388e-05,0.07116046556584771,5.507247361903406e-05,1.4388096211980796e-05,6.606982229769986e-05,0.0021472699859919654,0.005455702944725947
0.00028000000000000003,0.001,0.00028000000000000003,0.00028000000000000003,2.0,0.0007969477334028187,7.490892024714977e-05,0.06882579125502003,5.74481543197679e-05,8.825370373469849e-06,6.428051594229857e-05,0.002179964982418496,0.005444228033946839,0.001060659125451349,9.087550853440888e-05,0.07781071127287059,8.157285267961321e-05,4.9000344709896e-06,8.053077039404628e-05,0.0019187535022410552,0.005455357427447274
0.00046000000000000007,0.001,0.00046000000000000007,0.00046000000000000007,3.0,0.0007032379340528178,6.785415675561403e-05,0.0718687840110407,4.991278160410626e-05,5.276387045065381e-06,3.789232287465082e-05,0.002111106070294992,0.00418011689990661,0.0005350734856466061,5.62926574106981e-05,0.0702674157162116,3.5658719883659374e-05,2.7637709261053123e-06,1.0242300925529776e-05,0.0020679439416149783,0.0030714338383807873
0.00064,0.001,0.00064,0.00064,4.0,0.0005830388617042736,5.7150042167077854e-05,0.07221386627036668,4.00905295876286e-05,3.761215205309293e-06,3.0200080162230775e-05,0.002068361631835761,0.003095491687088925,0.0005412116889786831,5.3523864091554333e-05,0.0718357251083477,3.7094230153431463e-05,2.2640428172270493e-06,2.6839049350022646e-05,0.002102963561532655,0.002298278045700625
0.0008200000000000001,0.001,0.0008200000000000001,0.0008200000000000001,5.0,0.0005443553778395209,5.3676780907897095e-05,0.07111913648608564,3.692320722303838e-05,3.5748191689578754e-06,3.998326902810008e-05,0.0020758681949295662,0.0028211639488943297,0.0004668575836370008,5.999889137647247e-05,0.06296792144891905,3.0165707008871722e-05,2.145225312485256e-06,1.8370655341894807e-05,0.0018959431185356166,0.0022600478736206856
0.001,0.001,0.001,0.001,6.0,0.0007694051655761376,6.089267599083759e-05,0.06864657737233185,4.450946449322346e-05,7.0889027072439664e-06,0.0001354454747741662,0.00207795435822775,0.0016989668809634848,0.0006645208830591277,6.526998657283844e-05,0.06300858604394981,3.994173150759919e-05,4.372704575302991e-06,0.00011027212700749497,0.0019434034459416521,0.001141968834075335
0.001,0.001,0.001,0.001,7.0,0.0006204667102550085,5.20623861240911e-05,0.06750597429538538,3.606731508677415e-05,7.836286531930995e-06,7.177636964104386e-05,0.002054535434814849,0.0011710180074854006,0.000576323094332141,5.2286536482646434e-05,0.06684810060119212,3.298287857352755e-05,5.295014990618907e-06,8.116076980346582e-05,0.0019349828715489485,0.0010545131517574191
0.001,0.001,0.001,0.001,8.0,0.0006253581645258788,5.049708703449006e-05,0.06678032044410967,3.458852822247658e-05,1.0871638955743436e-05,9.1702540182622e-05,0.002079569172577184,0.0013802005053633031,0.0006610815655127613,5.891950613718696e-05,0.06409672508050193,4.176093853445351e-05,9.835488116680572e-06,3.2738644004674435e-05,0.00204386493650246,0.000982152809309797
0.001,0.001,0.001,0.001,9.0,0.0005434201103160471,4.6238055667947526e-05,0.06484807746241686,3.0274314162457823e-05,1.3678014945041546e-05,7.960231208558904e-05,0.002021779643373527,0.001060151754065677,0.0005109750099865995,4.8109680087880295e-05,0.06271599344012513,2.7332680376320786e-05,1.0907767266741296e-05,5.74874321042433e-05,0.0020764006651516117,0.0010353056303810337
0.001,0.001,0.001,0.001,10.0,0.0005409649265691452,4.497487413641582e-05,0.06257831591659006,2.941073932012651e-05,1.592904338485591e-05,0.00010212264517083949,0.0020054103528724773,0.0011510426422337717,0.0004830127918208324,4.450300231246165e-05,0.061072313963801736,2.6547865401587487e-05,1.1393645570972228e-05,5.2622098457523335e-05,0.0019843481765914966,0.0008966042032247282
0.001,0.001,0.001,0.001,11.0,0.0005098748766934502,4.277153805392539e-05,0.062696603453568,2.707842448967926e-05,1.520099385833557e-05,7.325836269200277e-05,0.0019795943714268553,0.001104749824931909,0.0004438824663285158,4.33840604141415e-05,0.05952354868905202,2.325144991825741e-05,1.0574685835424885e-05,8.807373988013484e-05,0.0019513791542327716,0.0008568725053898251
0.001,0.001,0.001,0.001,12.0,0.0004855239255801978,4.10254254047308e-05,0.06305988015298597,2.556114035685413e-05,1.540733455246967e-05,7.505523397390726e-05,0.0019625842909548117,0.0010278425419831005,0.0004417957619333913,3.842447739838161e-05,0.061130462990113196,2.2205722399153946e-05,1.1123463194669942e-05,8.267766229599785e-05,0.0019355447675068512,0.0009764885837429581
0.001,0.001,0.001,0.001,13.0,0.0004673458991570053,3.916272384294663e-05,0.06218521133130436,2.3747238115732466e-05,1.6300666952514338e-05,9.069354938630108e-05,0.0019652472339570268,0.0010497570000692488,0.000411036004615305,3.361339470330676e-05,0.06479463862685893,1.9692176813743724e-05,1.173943245147251e-05,8.234206122943329e-05,0.0018923273855204852,0.0009355042983976857
0.001,0.001,0.001,0.001,14.0,0.0004292046097294889,3.6413502842487835e-05,0.06216904219378528,2.098246921926338e-05,1.6011358195327104e-05,7.521149532201784e-05,0.0019576700567273675,0.0009773924465669573,0.00040724471396203464,3.7025912923559704e-05,0.061840635996765675,2.00595214584376e-05,1.105339673602436e-05,0.00011552946132480049,0.0018931955754334742,0.0008485741431184282
0.001,0.001,0.001,0.001,15.0,0.00042857624293669426,3.594841411294206e-05,0.06162989630827845,2.0803180249253834e-05,1.6718124827104983e-05,7.849427744046304e-05,0.0019654136044435617,0.0009967782088548772,0.0003794847914482379,2.9225178585935623e-05,0.06691058507198665,1.6622786408677555e-05,1.0906597279796138e-05,0.0002574846566261426,0.0019168650249479832,0.0009042472972749935
0.001,0.001,0.001,0.001,16.0,0.0004354011676426913,3.5972053289924753e-05,0.06102076881747886,2.1127438408359972e-05,1.761715758148684e-05,9.323605451963998e-05,0.0019660418143428813,0.001033809222060206,0.00037877197066773024,3.4147827567155303e-05,0.06116693225070389,1.6117684885617574e-05,1.2192867234176944e-05,8.488991779236519e-05,0.0018399380699432176,0.0010053944003983605
0.001,0.001,0.001,0.001,17.0,0.000388492479312667,3.2303239252420575e-05,0.06113092982251656,1.737256628723679e-05,1.7064313406377088e-05,6.82096745164136e-05,0.001944941290632791,0.00098471556357373,0.0003907085153668912,3.932107086142255e-05,0.057624750409919274,1.7878648727531235e-05,1.0621835238809294e-05,0.0001410846025710158,0.001865496596361882,0.0009173193800770546
0.001,0.001,0.001,0.001,18.0,0.0004057882354597484,3.386211211515757e-05,0.06051283381895633,1.8991671250732456e-05,1.784467607064195e-05,8.811552608143031e-05,0.001967979137596579,0.0009782942452479526,0.0003775906117573886,3.3462276221351475e-05,0.05869153121324632,1.5564385317731734e-05,1.3464580005217316e-05,2.8791450378038384e-05,0.0019423630501922793,0.0010830307134646546
0.001,0.001,0.001,0.001,19.0,0.00039917325992768946,3.3704052489046856e-05,0.05965807573376651,1.8860551417581415e-05,1.8913730308843276e-05,9.233174966421663e-05,0.001962588416327252,0.000933800622764642,0.0003788769078718799,3.3158619575350894e-05,0.057387501186128086,1.5572040636133777e-05,1.3674840799587087e-05,4.117878810168033e-05,0.0018547204922851417,0.00111666217829793
0.001,0.001,0.001,0.001,20.0,0.0003658222889602062,3.035848015114419e-05,0.059290503193152204,1.5483466561132933e-05,1.8176172493935646e-05,5.7957641339211136e-05,0.0019405228283795191,0.000986668498835351,0.00033070774342868826,2.670401421581571e-05,0.06265472640832961,1.2526212098347132e-05,1.1648398344429746e-05,0.00025389880513572655,0.0018495753727641696,0.0009007881174575915
0.001,0.001,0.001,0.001,21.0,0.00039797159407969175,3.3097854823315064e-05,0.05892976555758632,1.852220716590153e-05,1.9326467967190766e-05,9.85631026747912e-05,0.001952652499912231,0.0009679864860503383,0.0003979331249083147,3.543385936430962e-05,0.05851491361878198,1.9523904071608337e-05,1.201484131325277e-05,0.00012386970082399818,0.0018298604402205085,0.0008614847517554003
0.001,0.001,0.001,0.001,22.0,0.00039102566649425397,3.2129121761661047e-05,0.05865981716480592,1.7464088422146155e-05,1.8076857116147633e-05,8.319431098038529e-05,0.001943833219717003,0.0010226996388748447,0.0003473053455867694,3.1285800466794224e-05,0.05699615858707178,1.4178825884773077e-05,1.2004854017349278e-05,0.00014397570525243725,0.0018218787346722357,0.0009421645902283354
