lr_enc,lr_dec,lr_dyn,lr_dyn_scale,epoch,t_total,t_static_recon,t_kl,t_dyn_recon,t_dyn,t_steady,t_dyn_attn,t_attn_pos,v_total,v_static_recon,v_kl,v_dyn_recon,v_dyn,v_steady,v_dyn_attn,v_attn_pos
0.001,0.001,0.001,0.001,1.0,0.0017768076089463678,0.00016428726422019858,0.07180835384033615,0.00015144455383257185,0.0002626644935254779,0.0,0.0,0.0,0.0005381722774228895,5.6528877843929456e-05,0.04714507341689215,4.137087067079518e-05,0.00020789616779302145,0.0,0.0,0.0
0.001,0.001,0.001,0.001,2.0,0.00040064982966281967,4.277011074959312e-05,0.04498643280950495,2.9222151663847655e-05,0.00020671767763494884,0.0,0.0,0.0,0.00037289178088058755,3.733176499822386e-05,0.04759522084551602,2.659779957162857e-05,0.00021986798010953314,0.0,0.0,0.0
0.001,0.001,0.001,0.001,3.0,0.00031011172709948355,3.458851710985769e-05,0.041783815700856985,2.1265044365666167e-05,0.00021088948537055993,0.0,0.0,0.0,0.0003076842314812316,3.352169341071122e-05,0.04166819159563748,2.144581156789684e-05,0.00018036229761741427,0.0,0.0,0.0
0.001,0.001,0.001,0.001,4.0,0.0002573982021746492,2.979809027865492e-05,0.03970532998562207,1.6657727541643707e-05,0.00021317503576296027,0.0,0.0,0.0,0.0003075154414920124,3.500305254626775e-05,0.03708864830537576,2.178744431443057e-05,0.00017549296691992937,0.0,0.0,0.0
0.001,0.001,0.001,0.001,5.0,0.00023528409647645957,2.7626213501807226e-05,0.037413246406583264,1.4818132811881031e-05,0.00022063306744266007,0.0,0.0,0.0,0.0002635703667102315,3.308231304151724e-05,0.03315156528673235,1.714482477160361e-05,0.0002588823824128466,0.0,0.0,0.0
0.001,0.001,0.001,0.001,6.0,0.00019469296562217583,2.387329546222476e-05,0.035696298222279654,1.1289573097497886e-05,0.00022227638747024142,0.0,0.0,0.0,0.0002380074126245814,2.7747774424243998e-05,0.03518231206028067,1.5018407524499517e-05,0.0002489324817147585,0.0,0.0,0.0
0.001,0.001,0.001,0.001,7.0,0.0001930700546683065,2.3352444998886297e-05,0.034368109885931974,1.1255337196242997e-05,0.00022796125995393912,0.0,0.0,0.0,0.00019847819421397566,2.7302723520766212e-05,0.030512007128618478,1.1844687433862827e-05,0.00022216587791776466,0.0,0.0,0.0
0.001,0.001,0.001,0.001,8.0,0.0001790508185246904,2.178131852995344e-05,0.03350513758997818,1.0123173704774065e-05,0.00022532623134288707,0.0,0.0,0.0,0.0002049239226717116,2.697538895038976e-05,0.030171486542965704,1.2483156771742722e-05,0.0002294547773218049,0.0,0.0,0.0
0.001,0.001,0.001,0.001,9.0,0.00017047106970286195,2.078191426867283e-05,0.03285858357891734,9.398656766180093e-06,0.00022844002187823412,0.0,0.0,0.0,0.00021728646833134405,2.4727891504191056e-05,0.032917814868632066,1.3806500258010385e-05,0.00021575757921760816,0.0,0.0,0.0
0.001,0.001,0.001,0.001,10.0,0.0001572791311601948,1.9510448155209714e-05,0.03217176225696664,8.43504614569251e-06,0.00021246457386277085,0.0,0.0,0.0,0.0001867957777302253,2.5180827022223094e-05,0.029194579653327783,1.1295488276734984e-05,0.00019465487477936654,0.0,0.0,0.0
0.001,0.001,0.001,0.001,11.0,0.00015260987306019817,1.8814166145786033e-05,0.03163671413508538,7.997716381398448e-06,0.00022181827215964046,0.0,0.0,0.0,0.0001872387383694276,2.526611775036882e-05,0.02868272274471738,1.1421842226299392e-05,0.00019071473414814972,0.0,0.0,0.0
0.001,0.001,0.001,0.001,12.0,0.0001602934722099438,1.9366174796395563e-05,0.03144563276138643,8.689822895339244e-06,0.00022583434255904768,0.0,0.0,0.0,0.00017939095028654355,2.188353115863579e-05,0.03041192706617276,1.0469106276905568e-05,0.0002240442773461606,0.0,0.0,0.0
0.001,0.001,0.001,0.001,13.0,0.0001426341556485,1.769989957231347e-05,0.031138012504964566,7.135782644723886e-06,0.00022438415051067535,0.0,0.0,0.0,0.0001954866656768635,2.4602528402335903e-05,0.028582047565108577,1.20853684304569e-05,0.00021448402916918318,0.0,0.0,0.0
0.001,0.001,0.001,0.001,14.0,0.00015603351787013396,1.8718463980026972e-05,0.031057674538297952,8.281908677999413e-06,0.00023438290705906582,0.0,0.0,0.0,0.00022685333646485414,2.8439472271898797e-05,0.028904585660938623,1.423498541138155e-05,0.00027159422904016607,0.0,0.0,0.0
0.001,0.001,0.001,0.001,15.0,0.00013469766033488565,1.694554367862991e-05,0.03085588115620013,6.403308882854126e-06,0.0002286314511067551,0.0,0.0,0.0,0.0001806986472478719,2.3999085505836032e-05,0.027586332491764093,1.1145796025098894e-05,0.00017655267460781363,0.0,0.0,0.0
0.001,0.001,0.001,0.001,16.0,0.00013654093672308283,1.7193163808673043e-05,0.030576161726396246,6.760493458539827e-06,0.00021166674686707947,0.0,0.0,0.0,0.00016877706784022703,2.1122796156680224e-05,0.029662654624421782,9.867276789510854e-06,0.0001931884669008477,0.0,0.0,0.0
0.001,0.001,0.001,0.001,17.0,0.0001489141210321392,1.7929942338740108e-05,0.030690029599071418,7.776400594720762e-06,0.00022530141302924185,0.0,0.0,0.0,0.0002018894443107072,2.0362251714761162e-05,0.03401358222370161,1.2231155462430955e-05,0.0002520205370487143,0.0,0.0,0.0
0.001,0.001,0.001,0.001,18.0,0.0001260895036961418,1.606480400913009e-05,0.030416061320524854,5.782201440605592e-06,0.00021786622278192124,0.0,0.0,0.0,0.00018916141289679632,2.31751937933832e-05,0.028711405018226322,1.1746120857328576e-05,0.0001981360406752526,0.0,0.0,0.0
0.001,0.001,0.001,0.001,19.0,0.00013474542733096656,1.673543457028072e-05,0.030234504478863344,6.659903790273994e-06,0.00021176448778528441,0.0,0.0,0.0,0.0001538408477391564,2.0721233840262482e-05,0.028665243693505822,8.659102547673742e-06,0.0001786334397663721,0.0,0.0,0.0
0.001,0.001,0.001,0.001,20.0,0.00013378505868511003,1.6596187727311342e-05,0.030211149245489694,6.527539020119154e-06,0.00021702329629432612,0.0,0.0,0.0,0.00014420565707934442,1.9441070312552254e-05,0.02910077772398746,7.633795038110271e-06,0.0001932585754040846,0.0,0.0,0.0
0.001,0.001,0.001,0.001,21.0,0.00013769131740006208,1.6735257269230792e-05,0.03025535824637314,6.900211378220518e-06,0.000216985861644647,0.0,0.0,0.0,0.00018340620147468513,2.0789461381087063e-05,0.030815876379098273,1.1399846480370958e-05,0.00017802398261027567,0.0,0.0,0.0
