lr_enc,lr_dec,lr_dyn,lr_dyn_scale,epoch,t_total,t_static_recon,t_kl,t_dyn_recon,t_dyn,t_steady,t_dyn_attn,t_attn_pos,v_total,v_static_recon,v_kl,v_dyn_recon,v_dyn,v_steady,v_dyn_attn,v_attn_pos
0.001,0.001,0.001,0.001,1.0,0.0019697121355311885,0.00018748829317447754,0.04265580274883134,0.00016804666228348888,9.629862114690109e-05,0.001978862142526947,0.0,0.0,0.0008801063516752606,0.00012030154339047686,0.03587139363079329,7.170814112488406e-05,2.0696601484865973e-05,0.0001912938496203214,0.0,0.0
0.001,0.001,0.001,0.001,2.0,0.000436291828238946,4.9594589593558064e-05,0.0497222040663728,3.273457855108497e-05,2.677674863834045e-05,0.00027806283394931,0.0,0.0,0.0004768361672718298,7.092909829310304e-05,0.04163030323040564,3.621861444108842e-05,1.6833979930091803e-05,1.628876567771862e-05,0.0,0.0
0.001,0.001,0.001,0.001,3.0,0.0003258441086782684,3.8829580155440877e-05,0.04898101388919014,2.331667696143053e-05,2.5389442464332883e-05,9.311193043225167e-05,0.0,0.0,0.00039002830412287743,6.759454228772281e-05,0.03712805449680027,2.8335033765386716e-05,1.4384100356632757e-05,2.067833559553293e-05,0.0,0.0
0.001,0.001,0.001,0.001,4.0,0.00026821103931877954,3.320062440638601e-05,0.04832079071065181,1.8208815856632743e-05,2.5674011049590942e-05,8.136251845731141e-05,0.0,0.0,0.00035886069069216385,6.085708935644524e-05,0.03774581330045134,2.5701068523466446e-05,1.8069144351593693e-05,5.760745987799467e-05,0.0,0.0
0.001,0.001,0.001,0.001,5.0,0.0002707993949656572,3.295893720150659e-05,0.04600341435057199,1.8558947734798522e-05,3.355496787266773e-05,0.00011568270548319589,0.0,0.0,0.00032187661424891943,4.891763873215572e-05,0.036597182000100745,2.3345042455663433e-05,2.487172720542504e-05,1.696780468057875e-05,0.0,0.0
0.001,0.001,0.001,0.001,6.0,0.00018887032713663964,2.496282414798529e-05,0.042869490557054725,1.1642155110275435e-05,3.32854031760341e-05,5.151676123735811e-05,0.0,0.0,0.0002754396344344848,4.679822017216068e-05,0.035473070957206795,1.901272100757206e-05,1.92197557887386e-05,4.476626300630666e-05,0.0,0.0
0.001,0.001,0.001,0.001,7.0,0.00019146787155376963,2.4789790770266613e-05,0.04117317987235031,1.2062779034914356e-05,3.4341611433429876e-05,5.771791192976685e-05,0.0,0.0,0.00024392101980771607,3.95724982795775e-05,0.03639345076464981,1.6488391254912385e-05,1.780242532320702e-05,5.163659290388501e-05,0.0,0.0
0.001,0.001,0.001,0.001,8.0,0.00018869220001874716,2.4083735255815683e-05,0.04046581671006005,1.1901985580173106e-05,3.6541886900709484e-05,5.874405395495055e-05,0.0,0.0,0.0002369505441496264,3.9852295123490035e-05,0.03490650454939585,1.5785720330462378e-05,2.005862597107265e-05,9.314707602390559e-05,0.0,0.0
0.001,0.001,0.001,0.001,9.0,0.00017384090216712855,2.254124303281982e-05,0.039642976399954004,1.067551151310874e-05,3.624967876227982e-05,5.1063904208312515e-05,0.0,0.0,0.00024831567107707286,3.976375510976232e-05,0.03460011646466739,1.7072377643709458e-05,2.055670885471405e-05,4.6894040145013916e-05,0.0,0.0
0.001,0.001,0.001,0.001,10.0,0.0001608961325880817,2.1292045522319613e-05,0.03940829556954333,9.545341612632072e-06,3.554261090209721e-05,4.752449359354271e-05,0.0,0.0,0.00023142006900365295,3.951686077771938e-05,0.03400024913528555,1.543628756896617e-05,1.8727824426764163e-05,6.669200867663099e-05,0.0,0.0
0.001,0.001,0.001,0.001,11.0,0.0001679842466426749,2.1680986284552217e-05,0.03866509450728618,1.0225883837423604e-05,3.839492549463557e-05,6.159334022485177e-05,0.0,0.0,0.0002036079445773672,3.3628408464057646e-05,0.03395662987693047,1.3102205481518972e-05,2.4086637867057892e-05,0.00010368742784424084,0.0,0.0
0.001,0.001,0.001,0.001,12.0,0.00015090922785554025,2.0303657925251702e-05,0.03841857406712204,8.74449575782841e-06,3.654441333293896e-05,4.3503809003700775e-05,0.0,0.0,0.00022549477307687028,3.512090318473694e-05,0.03578745204218976,1.4975626095773633e-05,1.849420285699098e-05,0.00011922945207315019,0.0,0.0
0.001,0.001,0.001,0.001,13.0,0.00015896582518049387,2.068575319417684e-05,0.037789008011572735,9.534137065620823e-06,3.784635492901707e-05,5.460223296354512e-05,0.0,0.0,0.0002095793550034182,3.0605104854162295e-05,0.03507472586666555,1.4009741012295786e-05,2.4216655979763615e-05,5.521786172978205e-05,0.0,0.0
0.001,0.001,0.001,0.001,14.0,0.00014888207135431384,1.9812774591242025e-05,0.038216717772180366,8.618228261258048e-06,3.5978301967269176e-05,4.2898565367644406e-05,0.0,0.0,0.00020488461375611485,3.634427594211846e-05,0.03324591683089342,1.3124642706524382e-05,2.2358032498053258e-05,7.248759235494534e-05,0.0,0.0
0.001,0.001,0.001,0.001,15.0,0.00016083622450509293,2.0685921084510617e-05,0.0383109490065832,9.649352320300393e-06,3.67128831440166e-05,6.698163969727574e-05,0.0,0.0,0.00028411960328625477,3.863970853013335e-05,0.03399367244094936,2.0327944855505797e-05,3.1070186094059005e-05,0.00020399010542543764,0.0,0.0
